Rk,School,Year,SRS,SOS,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
254,Rutgers,2025,10.45,10.98,77,77.6,27,60.6,0.446,7.22,22,0.329,15.8,21.9,0.718,11.2,35.3,12.9,7.03,3.91,10.9,17.1
255,Sacramento State,2025,-13.8,-3.76,66.2,70.5,23.3,54.4,0.428,8.19,24.9,0.328,11.4,16.9,0.675,9.44,33.4,13.1,5.94,3.03,13.2,18.5
256,Sacred Heart,2025,-8.77,-8.17,75.8,75.2,27.1,61.9,0.438,9.64,27.6,0.349,11.9,16.2,0.731,11.8,37.1,16.6,7.36,2.97,12.3,15.8
257,Saint Francis (PA) NCAA,2025,-12.52,-7.17,71,71.6,26.5,57.4,0.462,8.26,24.2,0.342,9.71,13.4,0.727,8.53,34,14.2,6.24,2.5,12.9,15.2
258,Saint Joseph's,2025,7.9,1.16,75.4,68.6,26,58.8,0.442,9.29,27.4,0.34,14.1,19,0.743,10.6,37.1,14.6,6.44,5.53,11.4,14.4
259,Saint Louis,2025,3.45,2.45,74.3,71.3,26.4,55.5,0.477,9.79,27.8,0.352,11.6,17,0.686,7.59,35.2,15,6.35,3.09,12.7,14.7
260,Saint Mary's (CA) NCAA,2025,17.78,5.78,73.5,60.7,27.1,59.5,0.455,6.45,20,0.323,12.9,18.5,0.694,14.1,39.8,15.5,6.24,3.94,9.79,15
261,Saint Peter's,2025,-10.41,-8.22,66,65.8,22.3,56.5,0.395,7.11,21.6,0.329,14.3,19.4,0.738,13.5,37.3,10.3,6.79,3.61,13.6,18.9
262,Sam Houston,2025,-2.48,1.69,75.3,76,25.8,58,0.446,8.63,22.3,0.388,15,20.7,0.725,10.8,35.3,12.9,6.41,2.91,12.7,17.7
263,Samford,2025,1.61,-3.82,83.3,75.2,29.6,64.2,0.462,10.8,29.5,0.364,13.3,18.5,0.723,13.1,36.1,16.5,9.97,3.75,12.8,19.3
264,San Diego,2025,-8.07,1.93,70.1,79.7,24.8,61.1,0.407,6.39,21.8,0.293,14,18.7,0.752,11.5,34.3,11.4,7.42,3.58,13.3,21
265,San Diego State NCAA,2025,12.86,8.23,70.8,64.6,25.5,57.5,0.442,7.71,23.1,0.333,12.1,18.2,0.664,10.1,35.2,13,7.65,5.45,11,18.4
266,San Francisco,2025,10.95,4.2,75.9,68.9,26.5,58.1,0.457,8.52,25.2,0.338,14.3,20.1,0.711,10.2,35.2,13.8,6.73,3.42,11.9,18.8
267,San Jose State,2025,0.63,4.19,72.2,73.4,25.6,57.4,0.446,8.15,23.6,0.345,12.9,17.4,0.74,9.5,34.1,13.1,5.91,3.09,11.6,15.7
268,Santa Clara,2025,13.85,4.49,81.9,72.5,29,61.5,0.471,11,28.7,0.383,12.9,17.7,0.729,11.2,37.7,17.2,6.67,3.06,11.9,16.4
269,Seattle,2025,0.12,-1.01,70.4,66.4,23.3,56.2,0.415,6.69,20.7,0.323,17.1,24,0.714,10.8,34.3,12.1,8.09,3.19,11.4,17.9
270,Seton Hall,2025,0.02,8.64,61.6,70.2,22.1,55.3,0.4,5.25,16.8,0.312,12.1,18.2,0.663,11.2,31.1,11.2,8.13,3.38,12.5,18
271,Siena,2025,-7.18,-7.31,72.2,72.1,24.5,57.1,0.429,7.47,22.8,0.328,15.8,21.3,0.743,9.84,32.2,11.8,6.84,4.97,11.8,16.2
272,South Alabama,2025,1.7,-3.93,72.9,64.6,25.4,57.3,0.444,8.53,26.2,0.326,13.5,19.2,0.704,10,35.3,14.4,9.34,2.63,9.28,13.4
273,South Carolina,2025,10.26,11.91,69.8,71.4,23.2,54.2,0.427,6.69,21.2,0.316,16.8,23.5,0.715,10.1,34.4,12.7,5.66,2.94,12.4,16.1
274,South Carolina State,2025,-4.35,-8.78,79.5,70.4,27.3,58.4,0.468,7.09,19.6,0.362,17.8,25.1,0.709,12.4,35.3,15.6,9.48,3.52,14.2,21.1
275,South Carolina Upstate,2025,-15.43,-2.47,74.8,83.5,27.5,60.7,0.454,6.94,22.7,0.306,12.8,18.9,0.675,9.34,33.9,13.3,7.56,2.31,14.2,19.3
276,South Dakota,2025,-5.44,-3.24,85.2,83.7,28.7,63.8,0.45,7.88,24.6,0.321,20,28,0.714,11.9,35.7,11.6,7.55,3.33,9.61,18.6
277,South Dakota State,2025,2.44,-1.52,79.6,73.5,28.5,60.5,0.471,8.66,24.7,0.35,13.8,18.5,0.747,11.7,40.2,14.1,4.69,2.63,12.1,16.2
278,South Florida,2025,-1.88,0.09,74.4,74.5,26.3,59.3,0.443,7.06,22.2,0.318,14.7,20.4,0.72,10.3,34.6,14.4,8.28,3.53,11.1,17.1
279,Southeast Missouri State,2025,-4.65,-7.61,74,67,27.3,59.8,0.456,7.33,22,0.333,12.1,16.7,0.722,8.42,33.1,13.6,8.15,3.61,10.7,18.1
280,Southeastern Louisiana,2025,-4.03,-4.7,72.6,69.8,25.8,57.9,0.444,6.09,18.5,0.329,15,20.1,0.749,10.9,35.8,11.8,6.94,2.31,11.7,17.2
281,Southern,2025,-6.74,-7.81,74.8,68.3,26.5,60.9,0.436,6.63,20.6,0.322,15.1,22.5,0.669,13,37.3,13,9.66,3.84,12.5,18.6
282,Southern California,2025,12.42,11.03,76.9,75.5,27.2,56.4,0.482,7.18,19.5,0.367,15.3,20.5,0.746,8.7,31.3,15.5,6.36,2.97,12.4,17.8
283,Southern Illinois,2025,-2.15,1.14,72.9,74.5,26.5,57.5,0.461,6.73,19.2,0.351,13.1,19.4,0.676,10.2,35.5,14.2,6.27,3,12.5,16.9
284,SIU Edwardsville NCAA,2025,-5.81,-8.45,72.6,66.1,26,60,0.434,7.48,21.9,0.341,13.1,19.3,0.676,12,38.5,13.7,6.73,3.97,11.4,16.5
285,Southern Indiana,2025,-13.64,-8.18,71.5,73.5,25.5,59.7,0.428,7.2,20.5,0.351,13.2,18.1,0.731,10.5,35.8,11.4,6.7,2.87,11.7,17.2
